,initialWindForecast,latestWindForecast,settlementDate,settlementPeriod,windOutturn
2016031920,NULL,NULL,2016-03-19,20,1237
2016031921,857,1323,2016-03-19,21,1124
2016031922,NULL,NULL,2016-03-19,22,1047
2016031923,808,1346,2016-03-19,23,1119
2016031924,NULL,NULL,2016-03-19,24,1136
2016031925,756,1381,2016-03-19,25,1127
2016031926,NULL,NULL,2016-03-19,26,995
2016031927,769,1404,2016-03-19,27,1098
2016031928,NULL,NULL,2016-03-19,28,1128
2016031929,777,1451,2016-03-19,29,1121
2016031930,NULL,NULL,2016-03-19,30,1072
2016031931,787,1501,2016-03-19,31,1173
2016031932,NULL,NULL,2016-03-19,32,1251
2016031933,821,1467,2016-03-19,33,1412
2016031934,NULL,NULL,2016-03-19,34,1433
2016031935,857,1515,2016-03-19,35,1457
2016031936,NULL,NULL,2016-03-19,36,1522
2016031937,902,1563,2016-03-19,37,1550
2016031938,NULL,NULL,2016-03-19,38,1432
2016031939,879,1483,2016-03-19,39,1379
2016031940,NULL,NULL,2016-03-19,40,1342
2016031941,851,1427,2016-03-19,41,1398
2016031942,NULL,NULL,2016-03-19,42,1275
2016031943,829,1819,2016-03-19,43,1178
2016031944,NULL,NULL,2016-03-19,44,1190
2016031945,1176,1682,2016-03-19,45,1117
2016031946,NULL,NULL,2016-03-19,46,1132
2016031947,1098,1567,2016-03-19,47,1103
2016031948,NULL,NULL,2016-03-19,48,1099
2016032001,1029,1472,2016-03-20,1,1119
2016032002,NULL,NULL,2016-03-20,2,1002
2016032003,1015,1429,2016-03-20,3,845
2016032004,NULL,NULL,2016-03-20,4,830
2016032005,1011,1416,2016-03-20,5,768
2016032006,NULL,NULL,2016-03-20,6,876
2016032007,1008,1449,2016-03-20,7,941
2016032008,NULL,NULL,2016-03-20,8,976
2016032009,1050,1437,2016-03-20,9,937
2016032010,NULL,NULL,2016-03-20,10,1078
2016032011,1094,1438,2016-03-20,11,1150
2016032012,NULL,NULL,2016-03-20,12,1152
2016032013,1139,1451,2016-03-20,13,961
2016032014,NULL,NULL,2016-03-20,14,909
2016032015,1128,1386,2016-03-20,15,914
2016032016,NULL,NULL,2016-03-20,16,949
2016032017,1113,1277,2016-03-20,17,951
2016032018,NULL,NULL,2016-03-20,18,1010
2016032019,1101,1191,2016-03-20,19,1060
2016032020,NULL,NULL,2016-03-20,20,1013
2016032021,1085,1212,2016-03-20,21,1048
2016032022,NULL,NULL,2016-03-20,22,1078
2016032023,1073,1260,2016-03-20,23,1105
2016032024,NULL,NULL,2016-03-20,24,1187
2016032025,1071,1297,2016-03-20,25,1196
2016032026,NULL,NULL,2016-03-20,26,1135
2016032027,1083,1334,2016-03-20,27,1109
2016032028,NULL,NULL,2016-03-20,28,1133
2016032029,1102,1407,2016-03-20,29,1162
2016032030,NULL,NULL,2016-03-20,30,1269
2016032031,1127,1456,2016-03-20,31,1294
2016032032,NULL,NULL,2016-03-20,32,1327
2016032033,1154,1379,2016-03-20,33,1368
2016032034,NULL,NULL,2016-03-20,34,1418
2016032035,1186,1407,2016-03-20,35,1363
2016032036,NULL,NULL,2016-03-20,36,1464
2016032037,1221,1483,2016-03-20,37,1432
2016032038,NULL,NULL,2016-03-20,38,1488
2016032039,1219,1472,2016-03-20,39,1248
2016032040,NULL,NULL,2016-03-20,40,1186
2016032041,1218,1459,2016-03-20,41,1050
2016032042,NULL,NULL,2016-03-20,42,1003
2016032043,1218,1218,2016-03-20,43,1052
2016032044,NULL,NULL,2016-03-20,44,1110
2016032045,1398,1222,2016-03-20,45,1137
2016032046,NULL,NULL,2016-03-20,46,1081
2016032047,1403,1211,2016-03-20,47,983
2016032048,NULL,NULL,2016-03-20,48,981
2016032101,1424,1242,2016-03-21,1,1051
2016032102,NULL,NULL,2016-03-21,2,1120
2016032103,1490,1378,2016-03-21,3,1144
2016032104,NULL,NULL,2016-03-21,4,1242
2016032105,1563,1530,2016-03-21,5,1253
2016032106,NULL,NULL,2016-03-21,6,1262
2016032107,1649,1699,2016-03-21,7,1385
2016032108,NULL,NULL,2016-03-21,8,1498
2016032109,1698,1847,2016-03-21,9,1652
2016032110,NULL,NULL,2016-03-21,10,1693
2016032111,1749,1900,2016-03-21,11,1646
2016032112,NULL,NULL,2016-03-21,12,1582
2016032113,1802,1946,2016-03-21,13,1626
2016032114,NULL,NULL,2016-03-21,14,1696
2016032115,1773,1935,2016-03-21,15,1733
2016032116,NULL,NULL,2016-03-21,16,1876
2016032117,1747,1952,2016-03-21,17,1950
2016032118,NULL,NULL,2016-03-21,18,1932
2016032119,1723,1982,2016-03-21,19,1943
2016032120,NULL,NULL,2016-03-21,20,1880
2016032121,1681,2009,2016-03-21,21,1949
2016032122,NULL,NULL,2016-03-21,22,2003
2016032123,1650,1973,2016-03-21,23,2057
2016032124,NULL,NULL,2016-03-21,24,2063
2016032125,1629,1899,2016-03-21,25,2064
2016032126,NULL,NULL,2016-03-21,26,2111
2016032127,1566,1825,2016-03-21,27,2094
2016032128,NULL,NULL,2016-03-21,28,1955
2016032129,1509,1779,2016-03-21,29,2085
2016032130,NULL,NULL,2016-03-21,30,2195
2016032131,1458,1791,2016-03-21,31,2271
2016032132,NULL,NULL,2016-03-21,32,2256
2016032133,1317,1488,2016-03-21,33,2064
2016032134,NULL,NULL,2016-03-21,34,1944
2016032135,1185,1390,2016-03-21,35,1715
2016032136,NULL,NULL,2016-03-21,36,1475
2016032137,1064,1311,2016-03-21,37,1315
2016032138,NULL,NULL,2016-03-21,38,1162
2016032139,963,1256,2016-03-21,39,1095
2016032140,NULL,NULL,2016-03-21,40,1137
2016032141,874,1142,2016-03-21,41,1127
2016032142,NULL,NULL,2016-03-21,42,1211
2016032143,796,1508,2016-03-21,43,1281
2016032144,NULL,NULL,2016-03-21,44,1214
2016032145,895,1700,2016-03-21,45,1295
2016032146,NULL,NULL,2016-03-21,46,1210
2016032147,873,1822,2016-03-21,47,1217
2016032148,NULL,NULL,2016-03-21,48,1310
2016032201,867,1862,2016-03-22,1,1295
2016032202,NULL,NULL,2016-03-22,2,1250
2016032203,855,1821,2016-03-22,3,1223
2016032204,NULL,NULL,2016-03-22,4,1114
2016032205,845,1778,2016-03-22,5,1048
2016032206,NULL,NULL,2016-03-22,6,1081
2016032207,835,1729,2016-03-22,7,1134
2016032208,NULL,NULL,2016-03-22,8,1098
2016032209,799,1554,2016-03-22,9,1000
2016032210,NULL,NULL,2016-03-22,10,936
2016032211,765,1415,2016-03-22,11,872
2016032212,NULL,NULL,2016-03-22,12,821
2016032213,735,1299,2016-03-22,13,813
2016032214,NULL,NULL,2016-03-22,14,768
2016032215,704,1158,2016-03-22,15,742
2016032216,NULL,NULL,2016-03-22,16,715
2016032217,674,1024,2016-03-22,17,663
2016032218,NULL,NULL,2016-03-22,18,656
2016032219,647,903,2016-03-22,19,653
2016032220,NULL,NULL,2016-03-22,20,655
2016032221,639,750,2016-03-22,21,630
2016032222,NULL,NULL,2016-03-22,22,603
2016032223,640,685,2016-03-22,23,555
2016032224,NULL,NULL,2016-03-22,24,508
2016032225,650,641,2016-03-22,25,453
2016032226,NULL,NULL,2016-03-22,26,412
2016032227,633,587,2016-03-22,27,388
2016032228,NULL,NULL,2016-03-22,28,341
2016032229,621,544,2016-03-22,29,321
2016032230,NULL,NULL,2016-03-22,30,309
2016032231,613,506,2016-03-22,31,281
2016032232,NULL,NULL,2016-03-22,32,238
2016032233,577,340,2016-03-22,33,210
2016032234,NULL,NULL,2016-03-22,34,178
2016032235,545,313,2016-03-22,35,154
2016032236,NULL,NULL,2016-03-22,36,138
2016032237,518,295,2016-03-22,37,131
2016032238,NULL,NULL,2016-03-22,38,124
2016032239,495,266,2016-03-22,39,116
2016032240,NULL,NULL,2016-03-22,40,129
2016032241,475,237,2016-03-22,41,153
2016032242,NULL,NULL,2016-03-22,42,134
2016032243,458,324,2016-03-22,43,119
2016032244,NULL,NULL,2016-03-22,44,128
2016032245,255,306,2016-03-22,45,127
2016032246,NULL,NULL,2016-03-22,46,139
2016032247,254,291,2016-03-22,47,160
2016032248,NULL,NULL,2016-03-22,48,162
2016032301,255,283,2016-03-23,1,154
2016032302,NULL,NULL,2016-03-23,2,136
2016032303,269,306,2016-03-23,3,110
2016032304,NULL,NULL,2016-03-23,4,98
2016032305,285,352,2016-03-23,5,88
2016032306,NULL,NULL,2016-03-23,6,123
2016032307,298,405,2016-03-23,7,120
2016032308,NULL,NULL,2016-03-23,8,117
2016032309,315,416,2016-03-23,9,136
2016032310,NULL,NULL,2016-03-23,10,130
2016032311,335,419,2016-03-23,11,152
2016032312,NULL,NULL,2016-03-23,12,244
2016032313,357,424,2016-03-23,13,258
2016032314,NULL,NULL,2016-03-23,14,247
2016032315,386,447,2016-03-23,15,285
2016032316,NULL,NULL,2016-03-23,16,291
2016032317,419,479,2016-03-23,17,332
2016032318,NULL,NULL,2016-03-23,18,329
2016032319,456,530,2016-03-23,19,311
2016032320,NULL,NULL,2016-03-23,20,341
2016032321,529,583,2016-03-23,21,419
2016032322,NULL,NULL,2016-03-23,22,499
2016032323,622,721,2016-03-23,23,622
2016032324,NULL,NULL,2016-03-23,24,692
2016032325,739,898,2016-03-23,25,709
2016032326,NULL,NULL,2016-03-23,26,717
2016032327,823,1068,2016-03-23,27,789
2016032328,NULL,NULL,2016-03-23,28,711
2016032329,920,1188,2016-03-23,29,719
2016032330,NULL,NULL,2016-03-23,30,756
2016032331,1030,1319,2016-03-23,31,755
2016032332,NULL,NULL,2016-03-23,32,851
2016032333,1072,1297,2016-03-23,33,932
2016032334,NULL,NULL,2016-03-23,34,914
2016032335,1119,1354,2016-03-23,35,918
2016032336,NULL,NULL,2016-03-23,36,937
2016032337,1171,1443,2016-03-23,37,1111
2016032338,NULL,NULL,2016-03-23,38,1073
2016032339,1258,1432,2016-03-23,39,879
2016032340,NULL,NULL,2016-03-23,40,958
2016032341,1361,1390,2016-03-23,41,1061
2016032342,NULL,NULL,2016-03-23,42,1084
2016032343,1480,1699,2016-03-23,43,1341
2016032344,NULL,NULL,2016-03-23,44,1418
2016032345,1390,1721,2016-03-23,45,1471
2016032346,NULL,NULL,2016-03-23,46,1477
2016032347,1442,1737,2016-03-23,47,1302
2016032348,NULL,NULL,2016-03-23,48,1187
2016032401,1503,1764,2016-03-24,1,1165
2016032402,NULL,NULL,2016-03-24,2,1241
2016032403,1638,1804,2016-03-24,3,1345
2016032404,NULL,NULL,2016-03-24,4,1274
2016032405,1789,1921,2016-03-24,5,1225
2016032406,NULL,NULL,2016-03-24,6,1311
2016032407,1952,2057,2016-03-24,7,1332
2016032408,NULL,NULL,2016-03-24,8,1464
2016032409,2273,2406,2016-03-24,9,1702
2016032410,NULL,NULL,2016-03-24,10,1910
2016032411,2600,2838,2016-03-24,11,2169
2016032412,NULL,NULL,2016-03-24,12,2459
2016032413,2919,3300,2016-03-24,13,2476
2016032414,NULL,NULL,2016-03-24,14,2791
2016032415,3293,3690,2016-03-24,15,3133
2016032416,NULL,NULL,2016-03-24,16,3237
2016032417,3646,3967,2016-03-24,17,3224
2016032418,NULL,NULL,2016-03-24,18,3346
2016032419,3969,4162,2016-03-24,19,3252
2016032420,NULL,NULL,2016-03-24,20,3395
2016032421,4102,4301,2016-03-24,21,3385
2016032422,NULL,NULL,2016-03-24,22,3315
2016032423,4220,4307,2016-03-24,23,3383
2016032424,NULL,NULL,2016-03-24,24,3514
2016032425,4330,4265,2016-03-24,25,3502
2016032426,NULL,NULL,2016-03-24,26,3400
2016032427,4338,4238,2016-03-24,27,3314
2016032428,NULL,NULL,2016-03-24,28,3224
2016032429,4336,4253,2016-03-24,29,3171
2016032430,NULL,NULL,2016-03-24,30,3461
2016032431,4328,4238,2016-03-24,31,3461
2016032432,NULL,NULL,2016-03-24,32,3316
2016032433,4350,4137,2016-03-24,33,3302
2016032434,NULL,NULL,2016-03-24,34,3297
2016032435,4341,4085,2016-03-24,35,3306
2016032436,NULL,NULL,2016-03-24,36,3297
2016032437,4307,3927,2016-03-24,37,3469
2016032438,NULL,NULL,2016-03-24,38,3504
2016032439,4277,3982,2016-03-24,39,3354
2016032440,NULL,NULL,2016-03-24,40,3219
2016032441,4235,3847,2016-03-24,41,3347
2016032442,NULL,NULL,2016-03-24,42,3523
2016032443,4185,3775,2016-03-24,43,3486
2016032444,NULL,NULL,2016-03-24,44,3539
2016032445,3355,3613,2016-03-24,45,3436
2016032446,NULL,NULL,2016-03-24,46,3190
2016032447,3300,3478,2016-03-24,47,2963
2016032448,NULL,NULL,2016-03-24,48,2841
2016032501,3238,3422,2016-03-25,1,2845
2016032502,NULL,NULL,2016-03-25,2,2675
2016032503,3113,3484,2016-03-25,3,2761
2016032504,NULL,NULL,2016-03-25,4,2917
2016032505,2990,3508,2016-03-25,5,2954
2016032506,NULL,NULL,2016-03-25,6,3025
2016032507,2871,3535,2016-03-25,7,3255
2016032508,NULL,NULL,2016-03-25,8,3230
2016032509,2644,3280,2016-03-25,9,2914
2016032510,NULL,NULL,2016-03-25,10,2397
2016032511,2437,2938,2016-03-25,11,2309
2016032512,NULL,NULL,2016-03-25,12,2291
2016032513,2247,2695,2016-03-25,13,2129
2016032514,NULL,NULL,2016-03-25,14,1828
2016032515,2039,2479,2016-03-25,15,1901
2016032516,NULL,NULL,2016-03-25,16,1809
2016032517,1853,2187,2016-03-25,17,1582
2016032518,NULL,NULL,2016-03-25,18,1446
2016032519,1678,1957,2016-03-25,19,1415
2016032520,NULL,NULL,2016-03-25,20,1697
2016032521,1533,2068,2016-03-25,21,1922
2016032522,NULL,NULL,2016-03-25,22,2276
2016032523,1481,2392,2016-03-25,23,2473
2016032524,NULL,NULL,2016-03-25,24,2532
2016032525,1563,2802,2016-03-25,25,2603
2016032526,NULL,NULL,2016-03-25,26,2830
2016032527,1772,3149,2016-03-25,27,2875
2016032528,NULL,NULL,2016-03-25,28,2961
2016032529,2068,3577,2016-03-25,29,2896
2016032530,NULL,NULL,2016-03-25,30,2553
2016032531,2409,3987,2016-03-25,31,2716
2016032532,NULL,NULL,2016-03-25,32,2745
2016032533,2557,4181,2016-03-25,33,2859
2016032534,NULL,NULL,2016-03-25,34,3016
2016032535,2708,4422,2016-03-25,35,3248
2016032536,NULL,NULL,2016-03-25,36,3666
2016032537,2849,4657,2016-03-25,37,4253
2016032538,NULL,NULL,2016-03-25,38,4768
2016032539,3111,4950,2016-03-25,39,5186
2016032540,NULL,NULL,2016-03-25,40,5205
2016032541,3419,5269,2016-03-25,41,5434
2016032542,NULL,NULL,2016-03-25,42,5267
2016032543,3766,5583,2016-03-25,43,4685
2016032544,NULL,NULL,2016-03-25,44,4497
2016032545,5801,5697,2016-03-25,45,4540
2016032546,NULL,NULL,2016-03-25,46,4549
2016032547,5974,5868,2016-03-25,47,4289
2016032548,NULL,NULL,2016-03-25,48,4154
2016032601,6112,6067,2016-03-26,1,3842
2016032602,NULL,NULL,2016-03-26,2,4019
2016032603,6273,6193,2016-03-26,3,3993
2016032604,NULL,NULL,2016-03-26,4,4115
2016032605,6411,6315,2016-03-26,5,4176
2016032606,NULL,NULL,2016-03-26,6,4360
2016032607,6520,6481,2016-03-26,7,4469
2016032608,NULL,NULL,2016-03-26,8,4627
2016032609,6691,6635,2016-03-26,9,4662
2016032610,NULL,NULL,2016-03-26,10,4793
2016032611,6826,6761,2016-03-26,11,4807
2016032612,NULL,NULL,2016-03-26,12,4818
2016032613,6893,6790,2016-03-26,13,4677
2016032614,NULL,NULL,2016-03-26,14,4531
2016032615,6897,6826,2016-03-26,15,4473
2016032616,NULL,NULL,2016-03-26,16,4601
2016032617,6835,6741,2016-03-26,17,4897
2016032618,NULL,NULL,2016-03-26,18,5067
2016032619,6727,6668,2016-03-26,19,5393
2016032620,NULL,NULL,2016-03-26,20,5424
2016032621,6558,6561,2016-03-26,21,5410
2016032622,NULL,NULL,2016-03-26,22,5376
2016032623,6349,6443,2016-03-26,23,5331
2016032624,NULL,NULL,2016-03-26,24,5389
2016032625,6118,6272,2016-03-26,25,5362
2016032626,NULL,NULL,2016-03-26,26,5388
2016032627,6058,6126,2016-03-26,27,5402
2016032628,NULL,NULL,2016-03-26,28,5398
2016032629,5991,5970,2016-03-26,29,5295
2016032630,NULL,NULL,2016-03-26,30,5370
2016032631,5921,5936,2016-03-26,31,5506
2016032632,NULL,NULL,2016-03-26,32,5332
2016032633,6033,6014,2016-03-26,33,5284
2016032634,NULL,NULL,2016-03-26,34,5490
2016032635,6134,6169,2016-03-26,35,5747
2016032636,NULL,NULL,2016-03-26,36,5899
2016032637,6225,6308,2016-03-26,37,5883
2016032638,NULL,NULL,2016-03-26,38,5737
2016032639,6330,6596,2016-03-26,39,5641
2016032640,NULL,NULL,2016-03-26,40,5788
2016032641,6388,6701,2016-03-26,41,5727
2016032642,NULL,NULL,2016-03-26,42,5498
2016032643,6412,7082,2016-03-26,43,5230
2016032644,NULL,NULL,2016-03-26,44,5095
2016032645,6179,7045,2016-03-26,45,5090
2016032646,NULL,NULL,2016-03-26,46,4908
2016032647,6256,6875,2016-03-26,47,4800
2016032648,NULL,NULL,2016-03-26,48,4723
2016032701,6283,6791,2016-03-27,1,4445
2016032702,NULL,NULL,2016-03-27,2,4171
2016032703,6262,6705,2016-03-27,3,4061
2016032704,NULL,NULL,2016-03-27,4,3923
2016032705,6225,6631,2016-03-27,5,3852
2016032706,NULL,NULL,2016-03-27,6,3972
2016032707,6163,6544,2016-03-27,7,4180
2016032708,NULL,NULL,2016-03-27,8,3856
2016032709,6199,6606,2016-03-27,9,4061
2016032710,NULL,NULL,2016-03-27,10,4071
2016032711,6231,6682,2016-03-27,11,4185
2016032712,NULL,NULL,2016-03-27,12,4133
2016032713,6256,6709,2016-03-27,13,4154
2016032714,NULL,NULL,2016-03-27,14,4126
2016032715,6370,6769,2016-03-27,15,4097
2016032716,NULL,NULL,2016-03-27,16,4060
2016032717,6438,6709,2016-03-27,17,4119
2016032718,NULL,NULL,2016-03-27,18,4371
2016032719,6485,6628,2016-03-27,19,4505
2016032720,NULL,NULL,2016-03-27,20,4591
2016032721,6483,6615,2016-03-27,21,4816
2016032722,NULL,NULL,2016-03-27,22,4992
2016032723,6475,6587,2016-03-27,23,5196
2016032724,NULL,NULL,2016-03-27,24,5299
2016032725,6459,6558,2016-03-27,25,5070
2016032726,NULL,NULL,2016-03-27,26,5124
2016032727,6425,6476,2016-03-27,27,5184
2016032728,NULL,NULL,2016-03-27,28,5120
2016032729,6391,6359,2016-03-27,29,4954
2016032730,NULL,NULL,2016-03-27,30,4996
2016032731,6354,6248,2016-03-27,31,4934
2016032732,NULL,NULL,2016-03-27,32,4831
2016032733,6239,6202,2016-03-27,33,4691
2016032734,NULL,NULL,2016-03-27,34,4725
2016032735,6123,6062,2016-03-27,35,4539
2016032736,NULL,NULL,2016-03-27,36,4498
2016032737,5989,5899,2016-03-27,37,4229
2016032738,NULL,NULL,2016-03-27,38,4316
2016032739,5953,5762,2016-03-27,39,4340
2016032740,NULL,NULL,2016-03-27,40,4259
2016032741,5897,5354,2016-03-27,41,4239
2016032742,NULL,NULL,2016-03-27,42,4384
2016032743,6074,5190,2016-03-27,43,4060
2016032744,NULL,NULL,2016-03-27,44,3859
2016032745,5923,4913,2016-03-27,45,3642
2016032746,NULL,NULL,2016-03-27,46,3487
2016032801,5707,4523,2016-03-28,1,3310
2016032802,NULL,NULL,2016-03-28,2,3217
2016032803,5442,4169,2016-03-28,3,3082
2016032804,NULL,NULL,2016-03-28,4,2932
2016032805,5136,3780,2016-03-28,5,2468
2016032806,NULL,NULL,2016-03-28,6,2315
2016032807,4799,3428,2016-03-28,7,2092
2016032808,NULL,NULL,2016-03-28,8,2279
2016032809,4483,2915,2016-03-28,9,2256
2016032810,NULL,NULL,2016-03-28,10,2056
2016032811,4292,2786,2016-03-28,11,1705
2016032812,NULL,NULL,2016-03-28,12,1593
2016032813,3914,2727,2016-03-28,13,1493
2016032814,NULL,NULL,2016-03-28,14,1328
2016032815,3627,2838,2016-03-28,15,1277
2016032816,NULL,NULL,2016-03-28,16,1391
2016032817,3771,3024,2016-03-28,17,1557
2016032818,NULL,NULL,2016-03-28,18,1642
2016032819,3893,3208,2016-03-28,19,1686
2016032820,NULL,NULL,2016-03-28,20,1575
2016032821,4019,3410,2016-03-28,21,1513
2016032822,NULL,NULL,2016-03-28,22,1952
2016032823,4253,3765,2016-03-28,23,2636
2016032824,NULL,NULL,2016-03-28,24,3017
2016032825,4596,4017,2016-03-28,25,2973
2016032826,NULL,NULL,2016-03-28,26,3285
2016032827,4769,4285,2016-03-28,27,3716
2016032828,NULL,NULL,2016-03-28,28,3956
2016032829,4884,4514,2016-03-28,29,4117
2016032830,NULL,NULL,2016-03-28,30,4216
2016032831,4975,4743,2016-03-28,31,4370
2016032832,NULL,NULL,2016-03-28,32,4228
2016032833,5064,4911,2016-03-28,33,4327
2016032834,NULL,NULL,2016-03-28,34,4296
2016032835,4967,4767,2016-03-28,35,4128
2016032836,NULL,NULL,2016-03-28,36,4045
2016032837,4840,4635,2016-03-28,37,3824
2016032838,NULL,NULL,2016-03-28,38,3928
2016032839,4682,4442,2016-03-28,39,3649
2016032840,NULL,NULL,2016-03-28,40,3376
2016032841,4617,4362,2016-03-28,41,3008
2016032842,NULL,NULL,2016-03-28,42,2837
2016032843,4543,4181,2016-03-28,43,2635
2016032844,NULL,NULL,2016-03-28,44,2746
2016032845,3848,4018,2016-03-28,45,3068
2016032846,NULL,NULL,2016-03-28,46,3102
2016032847,3719,3925,2016-03-28,47,2910
2016032848,NULL,NULL,2016-03-28,48,3028
2016032901,3586,3852,2016-03-29,1,3077
2016032902,NULL,NULL,2016-03-29,2,2983
2016032903,3461,3725,2016-03-29,3,2911
2016032904,NULL,NULL,2016-03-29,4,2845
2016032905,3395,3587,2016-03-29,5,2822
2016032906,NULL,NULL,2016-03-29,6,2692
2016032907,3322,3405,2016-03-29,7,2495
2016032908,NULL,NULL,2016-03-29,8,2333
2016032909,3247,3288,2016-03-29,9,2263
2016032910,NULL,NULL,2016-03-29,10,2196
2016032911,3163,3204,2016-03-29,11,2116
2016032912,NULL,NULL,2016-03-29,12,2047
2016032913,3078,3088,2016-03-29,13,2030
2016032914,NULL,NULL,2016-03-29,14,2012
2016032915,2992,2995,2016-03-29,15,2062
2016032916,NULL,NULL,2016-03-29,16,2063
2016032917,3015,2979,2016-03-29,17,2013
2016032918,NULL,NULL,2016-03-29,18,2016
2016032919,3029,2985,2016-03-29,19,2062
2016032920,NULL,NULL,2016-03-29,20,2185
2016032921,3046,2950,2016-03-29,21,2144
2016032922,NULL,NULL,2016-03-29,22,1921
2016032923,3048,2927,2016-03-29,23,1818
2016032924,NULL,NULL,2016-03-29,24,1833
2016032925,3058,2868,2016-03-29,25,1870
2016032926,NULL,NULL,2016-03-29,26,2150
2016032927,3073,2826,2016-03-29,27,2467
2016032928,NULL,NULL,2016-03-29,28,2642
2016032929,3111,2694,2016-03-29,29,2344
2016032930,NULL,NULL,2016-03-29,30,2296
2016032931,3149,2610,2016-03-29,31,2286
2016032932,NULL,NULL,2016-03-29,32,2245
2016032933,3190,2528,2016-03-29,33,2045
2016032934,NULL,NULL,2016-03-29,34,2357
2016032935,3020,2635,2016-03-29,35,2596
2016032936,NULL,NULL,2016-03-29,36,2669
2016032937,2862,2545,2016-03-29,37,2504
2016032938,NULL,NULL,2016-03-29,38,2360
2016032939,2711,2467,2016-03-29,39,2068
2016032940,NULL,NULL,2016-03-29,40,2490
2016032941,2698,2493,2016-03-29,41,2443
2016032942,NULL,NULL,2016-03-29,42,2318
2016032943,2691,2497,2016-03-29,43,2312
2016032944,NULL,NULL,2016-03-29,44,1799
2016032945,2771,2518,2016-03-29,45,1590
2016032946,NULL,NULL,2016-03-29,46,1663
2016032947,2736,2461,2016-03-29,47,1959
2016032948,NULL,NULL,2016-03-29,48,2203
2016033001,2700,2431,2016-03-30,1,2070
2016033002,NULL,NULL,2016-03-30,2,1941
2016033003,2668,2349,2016-03-30,3,1850
2016033004,NULL,NULL,2016-03-30,4,1741
2016033005,2530,2282,2016-03-30,5,1855
2016033006,NULL,NULL,2016-03-30,6,1885
2016033007,2381,2259,2016-03-30,7,1866
2016033008,NULL,NULL,2016-03-30,8,1909
2016033009,2227,2264,2016-03-30,9,2030
2016033010,NULL,NULL,2016-03-30,10,1933
2016033011,2052,2241,2016-03-30,11,1908
2016033012,NULL,NULL,2016-03-30,12,1982
2016033013,1879,2207,2016-03-30,13,2053
2016033014,NULL,NULL,2016-03-30,14,2059
2016033015,1712,2135,2016-03-30,15,2048
2016033016,NULL,NULL,2016-03-30,16,2043
2016033017,1557,2033,2016-03-30,17,2001
2016033018,NULL,NULL,2016-03-30,18,1873
2016033019,1401,1962,2016-03-30,19,1833
2016033020,NULL,NULL,2016-03-30,20,1679
2016033021,1258,1887,2016-03-30,21,1574
2016033022,NULL,NULL,2016-03-30,22,1412
2016033023,1132,1719,2016-03-30,23,1340
2016033024,NULL,NULL,2016-03-30,24,1224
2016033025,1037,1600,2016-03-30,25,1105
2016033026,NULL,NULL,2016-03-30,26,930
2016033027,973,1519,2016-03-30,27,846
2016033028,NULL,NULL,2016-03-30,28,893
2016033029,924,1434,2016-03-30,29,960
2016033030,NULL,NULL,2016-03-30,30,773
2016033031,887,1337,2016-03-30,31,750
2016033032,NULL,NULL,2016-03-30,32,751
2016033033,860,1291,2016-03-30,33,768
2016033034,NULL,NULL,2016-03-30,34,746
2016033035,797,1172,2016-03-30,35,697
2016033036,NULL,NULL,2016-03-30,36,804
2016033037,744,1049,2016-03-30,37,957
2016033038,NULL,NULL,2016-03-30,38,1162
2016033039,700,951,2016-03-30,39,1053
2016033040,NULL,NULL,2016-03-30,40,824
2016033041,698,868,2016-03-30,41,667
2016033042,NULL,NULL,2016-03-30,42,511
2016033043,699,661,2016-03-30,43,434
2016033044,NULL,NULL,2016-03-30,44,352
2016033045,744,543,2016-03-30,45,302
2016033046,NULL,NULL,2016-03-30,46,255
2016033047,679,492,2016-03-30,47,226
2016033048,NULL,NULL,2016-03-30,48,238
2016033101,627,437,2016-03-31,1,262
2016033102,NULL,NULL,2016-03-31,2,282
2016033103,583,403,2016-03-31,3,237
2016033104,NULL,NULL,2016-03-31,4,182
2016033105,556,391,2016-03-31,5,142
2016033106,NULL,NULL,2016-03-31,6,147
2016033107,533,377,2016-03-31,7,182
2016033108,NULL,NULL,2016-03-31,8,199
2016033109,511,379,2016-03-31,9,232
2016033110,NULL,NULL,2016-03-31,10,213
2016033111,521,396,2016-03-31,11,185
2016033112,NULL,NULL,2016-03-31,12,222
2016033113,541,425,2016-03-31,13,232
2016033114,NULL,NULL,2016-03-31,14,234
2016033115,572,469,2016-03-31,15,216
2016033116,NULL,NULL,2016-03-31,16,191
2016033117,623,544,2016-03-31,17,199
2016033118,NULL,NULL,2016-03-31,18,197
2016033119,682,611,2016-03-31,19,192
2016033120,NULL,NULL,2016-03-31,20,215
2016033121,753,702,2016-03-31,21,278
2016033122,NULL,NULL,2016-03-31,22,349
2016033123,782,739,2016-03-31,23,378
2016033124,NULL,NULL,2016-03-31,24,380
2016033125,815,784,2016-03-31,25,466
2016033126,NULL,NULL,2016-03-31,26,566
2016033127,850,886,2016-03-31,27,613
2016033128,NULL,NULL,2016-03-31,28,675
2016033129,915,1024,2016-03-31,29,722
2016033130,NULL,NULL,2016-03-31,30,746
2016033131,986,1147,2016-03-31,31,709
2016033132,NULL,NULL,2016-03-31,32,710
2016033133,1062,1251,2016-03-31,33,739
2016033134,NULL,NULL,2016-03-31,34,743
2016033135,1077,1071,2016-03-31,35,740
2016033136,NULL,NULL,2016-03-31,36,764
2016033137,1095,1062,2016-03-31,37,787
2016033138,NULL,NULL,2016-03-31,38,758
